public pl.edu.mimuw.jloxim.executors.sbql.typecheck.TypeSafeStatement pl.edu.mimuw.jloxim.executors.sbql.typecheck.TypeChecker.checkTypes(pl.edu.mimuw.jloxim.executors.sbql.parser.BasicParsedStatement);public pl.edu.mimuw.jloxim.stores.schema.api.SchemaProvider pl.edu.mimuw.jloxim.executors.sbql.typecheck.TypeChecker.getSchemaProvider();24
public void pl.edu.mimuw.jloxim.executors.RunningEnvironmentStackSection.putNewValue(java.lang.Integer, pl.edu.mimuw.jloxim.model.as0.api.resultset.AS0Resultset);public pl.edu.mimuw.jloxim.model.as0.impl.resultset.AS0ResultsetBagImpl.Builder pl.edu.mimuw.jloxim.model.as0.impl.resultset.AS0ResultsetBagImpl.Builder.add(pl.edu.mimuw.jloxim.model.as0.api.resultset.AS0Resultset);2221
private void pl.edu.mimuw.jloxim.executors.sbql.typecheck.TypecheckTreeVisitor.evaluateNonAlgebraicOperator(pl.edu.mimuw.jloxim.executors.sbql.parser.syntaxtree.BinaryOperatorNode, pl.edu.mimuw.jloxim.executors.sbql.typecheck.OperatorsEnum);public void pl.edu.mimuw.jloxim.executors.sbql.typecheck.StaticEnvironmentStack.unnest();165
public final pl.edu.mimuw.jloxim.executors.sbql.parser.antlr.JLoximParser.stmt160_return pl.edu.mimuw.jloxim.executors.sbql.parser.antlr.JLoximParser.stmt160();public void pl.edu.mimuw.jloxim.executors.sbql.parser.antlr.JLoximLexer.mTokens();140
public pl.edu.mimuw.jloxim.server.uniform.api.direct.DBStatementImpl pl.edu.mimuw.jloxim.server.uniform.api.direct.DBConnectionImpl.createStatement(java.lang.String, java.lang.String);public pl.edu.mimuw.jloxim.executors.api.StmtParser pl.edu.mimuw.jloxim.executors.utils.DefaultExecutionBundle.getStmtParser();24
public java.util.Map pl.edu.mimuw.jloxim.stores.as0.bdb_je.store.BerkeleyAs0Store.getSubobjectOIDsMap(pl.edu.mimuw.jloxim.physical_trans.trans_mgr.api.Transaction, pl.edu.mimuw.jloxim.utils.api.AbstractOid);public pl.edu.mimuw.jloxim.utils.impl.LazyMap(java.util.Map, pl.edu.mimuw.jloxim.utils.api.callbacks.CallbackWithReturnValue, java.util.Set);397
public final pl.edu.mimuw.jloxim.executors.sbql.parser.antlr.JLoximParser.stmt170_return pl.edu.mimuw.jloxim.executors.sbql.parser.antlr.JLoximParser.stmt170();public void pl.edu.mimuw.jloxim.executors.sbql.parser.antlr.JLoximLexer.mTokens();311
public pl.edu.mimuw.jloxim.xml_test.junit.LocalJLoximXMLJUnitTestEnvironment();public void pl.edu.mimuw.jloxim.stores.schema.impl.SchemaAwareStoreAS0Impl.setAtomicValFacory(pl.edu.mimuw.jloxim.model.as0.api.values.AtomicValueFactory);1
public final pl.edu.mimuw.jloxim.executors.sbql.parser.antlr.JLoximParser.stmt73_return pl.edu.mimuw.jloxim.executors.sbql.parser.antlr.JLoximParser.stmt73();public java.lang.Object pl.edu.mimuw.jloxim.executors.sbql.parser.antlr.JLoximParser.stmt75_return.getTree();158
public pl.edu.mimuw.jloxim.executors.querytree.SBQLOperator pl.edu.mimuw.jloxim.executors.OperatorTreeBuilderImpl.buildOperatorNode(pl.edu.mimuw.jloxim.executors.sbql.parser.syntaxtree.SyntaxTreeNode);protected final pl.edu.mimuw.jloxim.executors.querytree.SequenceCtorSBQLOperator pl.edu.mimuw.jloxim.executors.OperatorTreeBuilderImpl..EnhancerByCGLIB..e63722f9.createSequenceCtorSBQLOperator();2
public int pl.edu.mimuw.jloxim.model.as0.impl.resultset.AS0ResultsetAtomicImpl.hashCode();public int pl.edu.mimuw.jloxim.model.as0.impl.values.TextAtomicValueImpl.hashCode();204
public java.lang.String pl.edu.mimuw.jloxim.executors.sbql.parser.syntaxtree.ProjectionNode.toString();public boolean pl.edu.mimuw.jloxim.executors.sbql.parser.syntaxtree.WhereNode.needsParens();7
public pl.edu.mimuw.jloxim.executors.querytree.SBQLOperator pl.edu.mimuw.jloxim.executors.OperatorTreeBuilderImpl.buildOperatorNode(pl.edu.mimuw.jloxim.executors.sbql.parser.syntaxtree.SyntaxTreeNode);public void pl.edu.mimuw.jloxim.executors.querytree.AtomicConstantSBQLOperator.configure(pl.edu.mimuw.jloxim.model.as0.api.resultset.AS0Resultset);28
void pl.edu.mimuw.jloxim.executors.RunningEnvironmentStack.nested(pl.edu.mimuw.jloxim.model.as0.api.resultset.AS0Resultset, pl.edu.mimuw.jloxim.physical_trans.trans_mgr.api.Transaction, pl.edu.mimuw.jloxim.executors.RunningEnvironmentStackSection);private pl.edu.mimuw.jloxim.model.as0.api.resultset.AS0Resultset pl.edu.mimuw.jloxim.executors.RunningEnvironmentStack.iterToOidsResultset(pl.edu.mimuw.jloxim.utils.api.ClosableIterator);1939
public pl.edu.mimuw.jloxim.executors.sbql.parser.syntaxtree.SyntaxTreeNode pl.edu.mimuw.jloxim.executors.sbql.parser.antlr.AntlrTreeTranslator.translateTree(java.lang.Object);private pl.edu.mimuw.jloxim.executors.sbql.parser.syntaxtree.SyntaxTreeNode pl.edu.mimuw.jloxim.executors.sbql.parser.antlr.AntlrTreeTranslator.translateLth(org.antlr.runtime.tree.CommonTree);4
public final pl.edu.mimuw.jloxim.executors.sbql.parser.antlr.JLoximParser.statement_return pl.edu.mimuw.jloxim.executors.sbql.parser.antlr.JLoximParser.statement();public void pl.edu.mimuw.jloxim.executors.sbql.parser.antlr.JLoximLexer.mTokens();58
